CbTagName;date;ed
CB First Floor;09/07/2017;39
CB First Floor;10/07/2017;58
CB First Floor;11/07/2017;60
CB First Floor;12/07/2017;55
CB First Floor;13/07/2017;54
CB First Floor;14/07/2017;52
CB First Floor;15/07/2017;40
CB First Floor;16/07/2017;39
CB First Floor;17/07/2017;53
CB First Floor;18/07/2017;53
CB First Floor;19/07/2017;55
CB First Floor;20/07/2017;54
CB First Floor;21/07/2017;55
CB First Floor;22/07/2017;41
CB First Floor;23/07/2017;39
CB First Floor;24/07/2017;55
CB First Floor;25/07/2017;55
CB First Floor;26/07/2017;55
CB First Floor;27/07/2017;53
CB First Floor;28/07/2017;54
CB First Floor;29/07/2017;40
CB First Floor;30/07/2017;40
CB First Floor;31/07/2017;54
CB First Floor;01/08/2017;53
CB First Floor;02/08/2017;53
CB First Floor;03/08/2017;54
CB First Floor;04/08/2017;52
CB First Floor;05/08/2017;37
CB First Floor;06/08/2017;39
CB First Floor;07/08/2017;52
CB First Floor;08/08/2017;52
CB First Floor;09/08/2017;52
CB First Floor;10/08/2017;50
CB First Floor;11/08/2017;50
CB First Floor;12/08/2017;39
CB First Floor;13/08/2017;38
CB First Floor;14/08/2017;40
CB First Floor;15/08/2017;39
CB First Floor;16/08/2017;41
CB First Floor;17/08/2017;41
CB First Floor;18/08/2017;41
CB First Floor;21/08/2017;53
CB First Floor;22/08/2017;49
CB First Floor;23/08/2017;50
CB First Floor;24/08/2017;50
CB First Floor;25/08/2017;49
CB First Floor;26/08/2017;39
CB First Floor;27/08/2017;39
CB First Floor;28/08/2017;54
CB First Floor;29/08/2017;54
CB First Floor;30/08/2017;55
CB First Floor;31/08/2017;56
CB First Floor;01/09/2017;53
CB First Floor;02/09/2017;41
CB First Floor;03/09/2017;39
CB First Floor;04/09/2017;56
CB First Floor;05/09/2017;55
CB First Floor;06/09/2017;54
CB First Floor;07/09/2017;55
CB First Floor;08/09/2017;54
CB First Floor;09/09/2017;41
CB First Floor;10/09/2017;40
CB First Floor;11/09/2017;56
CB First Floor;12/09/2017;56
CB First Floor;13/09/2017;55
CB First Floor;14/09/2017;59
CB First Floor;15/09/2017;56
CB First Floor;16/09/2017;41
CB First Floor;17/09/2017;37
CB First Floor;18/09/2017;59
CB First Floor;19/09/2017;52
CB First Floor;20/09/2017;53
CB First Floor;21/09/2017;53
CB First Floor;22/09/2017;52
CB First Floor;23/09/2017;38
CB First Floor;24/09/2017;35
CB First Floor;25/09/2017;59
CB First Floor;26/09/2017;52
CB First Floor;27/09/2017;53
CB First Floor;28/09/2017;52
CB First Floor;29/09/2017;51
CB First Floor;30/09/2017;37
CB First Floor;01/10/2017;35
CB First Floor;02/10/2017;52
CB First Floor;03/10/2017;55
CB First Floor;04/10/2017;54
CB First Floor;05/10/2017;52
CB First Floor;06/10/2017;52
CB First Floor;07/10/2017;36
CB First Floor;08/10/2017;34
CB First Floor;09/10/2017;51
CB First Floor;10/10/2017;53
CB First Floor;11/10/2017;56
CB First Floor;12/10/2017;60
CB First Floor;13/10/2017;53
CB First Floor;14/10/2017;37
CB First Floor;15/10/2017;35
CB First Floor;16/10/2017;53
CB First Floor;17/10/2017;54
CB First Floor;18/10/2017;54
CB First Floor;19/10/2017;54
CB First Floor;20/10/2017;55
CB First Floor;21/10/2017;40
CB First Floor;22/10/2017;35
CB First Floor;23/10/2017;53
CB First Floor;24/10/2017;55
CB First Floor;25/10/2017;53
CB First Floor;26/10/2017;53
CB First Floor;27/10/2017;55
CB First Floor;28/10/2017;40
CB First Floor;29/10/2017;37
CB First Floor;30/10/2017;55
CB First Floor;31/10/2017;54
CB First Floor;01/11/2017;36
CB First Floor;02/11/2017;56
