"","date","windSpeed.X","windSpeed.date","windSpeed.windSpeed"
"133",2017-08-12,133,"2017-08-12",1.36
"134",2017-08-13,134,"2017-08-13",0.25
"135",2017-08-14,135,"2017-08-14",0.37
"136",2017-08-15,136,"2017-08-15",0.34
"137",2017-08-16,137,"2017-08-16",0.29
"138",2017-08-17,138,"2017-08-17",0.11
"139",2017-08-18,139,"2017-08-18",0.66
"140",2017-08-21,140,"2017-08-21",1.1
"141",2017-08-22,141,"2017-08-22",0.79
"142",2017-08-23,142,"2017-08-23",0.36
"143",2017-08-24,143,"2017-08-24",0.44
"144",2017-08-25,144,"2017-08-25",0.69
"145",2017-08-26,145,"2017-08-26",0.58
"146",2017-08-27,146,"2017-08-27",1.06
"147",2017-08-28,147,"2017-08-28",0.51
"148",2017-08-29,148,"2017-08-29",1.8
"149",2017-08-30,149,"2017-08-30",0.33
"150",2017-08-31,150,"2017-08-31",1.34
"151",2017-09-01,151,"2017-09-01",1.59
"152",2017-09-02,152,"2017-09-02",1.39
"153",2017-09-03,153,"2017-09-03",0.52
"154",2017-09-04,154,"2017-09-04",0.09
"155",2017-09-05,155,"2017-09-05",0.52
"156",2017-09-06,156,"2017-09-06",0.65
"157",2017-09-07,157,"2017-09-07",0.86
"158",2017-09-08,158,"2017-09-08",1.02
"159",2017-09-09,159,"2017-09-09",2.62
"160",2017-09-10,160,"2017-09-10",2.03
"161",2017-09-11,161,"2017-09-11",0.47
"162",2017-09-12,162,"2017-09-12",0.82
"163",2017-09-13,163,"2017-09-13",0.29
"164",2017-09-14,164,"2017-09-14",0.54
"165",2017-09-15,165,"2017-09-15",0.54
"166",2017-09-16,166,"2017-09-16",0.42
"167",2017-09-17,167,"2017-09-17",0.55
"168",2017-09-18,168,"2017-09-18",0.54
"169",2017-09-19,169,"2017-09-19",0.72
"170",2017-09-20,170,"2017-09-20",0.28
"171",2017-09-21,171,"2017-09-21",0.28
"172",2017-09-22,172,"2017-09-22",0.46
"173",2017-09-23,173,"2017-09-23",0.49
"174",2017-09-24,174,"2017-09-24",1.12
"175",2017-09-25,175,"2017-09-25",0.92
"176",2017-09-26,176,"2017-09-26",0.32
"177",2017-09-27,177,"2017-09-27",0.07
"178",2017-09-28,178,"2017-09-28",0.49
"179",2017-09-29,179,"2017-09-29",0.75
"180",2017-09-30,180,"2017-09-30",1.8
"181",2017-10-01,181,"2017-10-01",0.96
"182",2017-10-02,182,"2017-10-02",0.45
"183",2017-10-03,183,"2017-10-03",0.44
"184",2017-10-04,184,"2017-10-04",0.21
"185",2017-10-05,185,"2017-10-05",1.2
"186",2017-10-06,186,"2017-10-06",1.77
"187",2017-10-07,187,"2017-10-07",0.48
"188",2017-10-08,188,"2017-10-08",0.78
"189",2017-10-09,189,"2017-10-09",0.14
"190",2017-10-10,190,"2017-10-10",0.08
"191",2017-10-11,191,"2017-10-11",0.17
"192",2017-10-12,192,"2017-10-12",0.4
"193",2017-10-13,193,"2017-10-13",0.21
"194",2017-10-14,194,"2017-10-14",0.2
