CbTagName;date;ed 
CB Third Floor;08/02/2019-00;152
CB Third Floor;08/02/2019-01;149
CB Third Floor;08/02/2019-02;157
CB Third Floor;08/02/2019-03;153
CB Third Floor;08/02/2019-04;148
CB Third Floor;08/02/2019-05;160
CB Third Floor;08/02/2019-06;158
CB Third Floor;08/02/2019-07;165
CB Third Floor;08/02/2019-08;168
CB Third Floor;08/02/2019-09;121
CB Third Floor;08/02/2019-10;95
CB Third Floor;08/02/2019-11;77
CB Third Floor;08/02/2019-12;65
CB Third Floor;08/02/2019-13;61
CB Third Floor;08/02/2019-14;54
CB Third Floor;08/02/2019-15;68
CB Third Floor;08/02/2019-16;75
CB Third Floor;08/02/2019-17;98
CB Third Floor;08/02/2019-18;97
CB Third Floor;08/02/2019-19;92
CB Third Floor;08/02/2019-20;100
CB Third Floor;08/02/2019-21;106
CB Third Floor;08/02/2019-22;117
CB Third Floor;08/02/2019-23;124
CB Third Floor;09/02/2019-00;134
CB Third Floor;09/02/2019-01;142
CB Third Floor;09/02/2019-02;134
CB Third Floor;09/02/2019-03;150
CB Third Floor;09/02/2019-04;150
CB Third Floor;09/02/2019-05;152
CB Third Floor;09/02/2019-06;146
CB Third Floor;09/02/2019-07;153
CB Third Floor;09/02/2019-08;163
CB Third Floor;09/02/2019-09;123
CB Third Floor;09/02/2019-10;102
CB Third Floor;09/02/2019-11;86
CB Third Floor;09/02/2019-12;72
CB Third Floor;09/02/2019-13;59
CB Third Floor;09/02/2019-14;64
CB Third Floor;09/02/2019-15;77
CB Third Floor;09/02/2019-16;86
CB Third Floor;09/02/2019-17;92
CB Third Floor;09/02/2019-18;89
CB Third Floor;09/02/2019-19;95
CB Third Floor;09/02/2019-20;94
CB Third Floor;09/02/2019-21;104
CB Third Floor;09/02/2019-22;96
CB Third Floor;09/02/2019-23;97
CB Third Floor;10/02/2019-00;93
CB Third Floor;10/02/2019-01;103
CB Third Floor;10/02/2019-02;103
CB Third Floor;10/02/2019-03;106
CB Third Floor;10/02/2019-04;103
CB Third Floor;10/02/2019-05;116
CB Third Floor;10/02/2019-06;109
CB Third Floor;10/02/2019-07;114
CB Third Floor;10/02/2019-08;121
CB Third Floor;10/02/2019-09;119
CB Third Floor;10/02/2019-10;112
CB Third Floor;10/02/2019-11;112
CB Third Floor;10/02/2019-12;114
CB Third Floor;10/02/2019-13;115
CB Third Floor;10/02/2019-14;116
CB Third Floor;10/02/2019-15;117
CB Third Floor;10/02/2019-16;117
CB Third Floor;10/02/2019-17;113
CB Third Floor;10/02/2019-18;106
CB Third Floor;10/02/2019-19;115
CB Third Floor;10/02/2019-20;108
CB Third Floor;10/02/2019-21;112
CB Third Floor;10/02/2019-22;111
CB Third Floor;10/02/2019-23;124
CB Third Floor;11/02/2019-00;130
CB Third Floor;11/02/2019-01;137
CB Third Floor;11/02/2019-02;138
CB Third Floor;11/02/2019-03;148
CB Third Floor;11/02/2019-04;153
CB Third Floor;11/02/2019-05;139
CB Third Floor;11/02/2019-06;122
CB Third Floor;11/02/2019-07;113
CB Third Floor;11/02/2019-08;108
CB Third Floor;11/02/2019-09;88
CB Third Floor;11/02/2019-10;72
CB Third Floor;11/02/2019-11;69
CB Third Floor;11/02/2019-12;64
CB Third Floor;11/02/2019-13;51
CB Third Floor;11/02/2019-14;64
CB Third Floor;11/02/2019-15;58
CB Third Floor;11/02/2019-16;76
CB Third Floor;11/02/2019-17;93
CB Third Floor;11/02/2019-18;88
CB Third Floor;11/02/2019-19;88
CB Third Floor;11/02/2019-20;90
CB Third Floor;11/02/2019-21;105
CB Third Floor;11/02/2019-22;120
CB Third Floor;11/02/2019-23;127
CB Third Floor;12/02/2019-00;134
CB Third Floor;12/02/2019-01;134
CB Third Floor;12/02/2019-02;145
CB Third Floor;12/02/2019-03;153
CB Third Floor;12/02/2019-04;154
CB Third Floor;12/02/2019-05;148
CB Third Floor;12/02/2019-06;150
CB Third Floor;12/02/2019-07;152
CB Third Floor;12/02/2019-08;138
CB Third Floor;12/02/2019-09;105
CB Third Floor;12/02/2019-10;81
CB Third Floor;12/02/2019-11;68
CB Third Floor;12/02/2019-12;54
CB Third Floor;12/02/2019-13;45
CB Third Floor;12/02/2019-14;46
CB Third Floor;12/02/2019-15;80
CB Third Floor;12/02/2019-16;88
CB Third Floor;12/02/2019-17;88
CB Third Floor;12/02/2019-18;79
CB Third Floor;12/02/2019-19;84
CB Third Floor;12/02/2019-20;90
CB Third Floor;12/02/2019-21;102
CB Third Floor;12/02/2019-22;103
CB Third Floor;13/02/2019-23;131
CB Third Floor;13/02/2019-00;111
CB Third Floor;13/02/2019-01;125
CB Third Floor;13/02/2019-02;124
CB Third Floor;13/02/2019-03;126
CB Third Floor;13/02/2019-04;134
CB Third Floor;13/02/2019-05;131
CB Third Floor;13/02/2019-06;131
CB Third Floor;13/02/2019-07;135
CB Third Floor;13/02/2019-08;151
CB Third Floor;13/02/2019-09;113
CB Third Floor;13/02/2019-10;84
CB Third Floor;13/02/2019-11;70
CB Third Floor;13/02/2019-12;53
CB Third Floor;13/02/2019-13;40
CB Third Floor;13/02/2019-14;49
CB Third Floor;13/02/2019-15;55
CB Third Floor;13/02/2019-16;73
CB Third Floor;13/02/2019-17;83
