CbTagName;date;ed 
CB Third Floor;08/10/2017;12
CB Third Floor;09/10/2017;27
CB Third Floor;10/10/2017;26
CB Third Floor;11/10/2017;30
CB Third Floor;12/10/2017;30
CB Third Floor;13/10/2017;27
CB Third Floor;14/10/2017;13
CB Third Floor;15/10/2017;18
CB Third Floor;16/10/2017;34
CB Third Floor;17/10/2017;33
CB Third Floor;18/10/2017;32
CB Third Floor;19/10/2017;27
CB Third Floor;20/10/2017;24
CB Third Floor;21/10/2017;18
CB Third Floor;22/10/2017;18
CB Third Floor;23/10/2017;32
CB Third Floor;24/10/2017;49
CB Third Floor;25/10/2017;47
CB Third Floor;26/10/2017;42
CB Third Floor;27/10/2017;40
CB Third Floor;28/10/2017;37
CB Third Floor;29/10/2017;38
CB Third Floor;30/10/2017;46
CB Third Floor;31/10/2017;42
CB Third Floor;01/11/2017;49
CB Third Floor;02/11/2017;53
CB Third Floor;03/11/2017;49
CB Third Floor;04/11/2017;47
CB Third Floor;05/11/2017;50
CB Third Floor;06/11/2017;63
CB Third Floor;07/11/2017;69
CB Third Floor;08/11/2017;63
CB Third Floor;09/11/2017;70
CB Third Floor;10/11/2017;66
CB Third Floor;11/11/2017;63
CB Third Floor;12/11/2017;76
CB Third Floor;13/11/2017;87
CB Third Floor;14/11/2017;93
CB Third Floor;15/11/2017;92
CB Third Floor;16/11/2017;91
CB Third Floor;17/11/2017;88
CB Third Floor;18/11/2017;96
CB Third Floor;19/11/2017;88
CB Third Floor;20/11/2017;103
CB Third Floor;21/11/2017;91
CB Third Floor;22/11/2017;83
CB Third Floor;23/11/2017;77
CB Third Floor;24/11/2017;79
CB Third Floor;25/11/2017;84
CB Third Floor;26/11/2017;82
CB Third Floor;27/11/2017;114
CB Third Floor;28/11/2017;128
CB Third Floor;29/11/2017;132
CB Third Floor;30/11/2017;122
CB Third Floor;01/12/2017;141
CB Third Floor;02/12/2017;117
CB Third Floor;03/12/2017;119
CB Third Floor;04/12/2017;145
CB Third Floor;05/12/2017;132
CB Third Floor;06/12/2017;112
CB Third Floor;07/12/2017;106
CB Third Floor;08/12/2017;113
CB Third Floor;09/12/2017;116
CB Third Floor;10/12/2017;156
CB Third Floor;11/12/2017;150
CB Third Floor;12/12/2017;105
CB Third Floor;13/12/2017;118
CB Third Floor;14/12/2017;112
CB Third Floor;15/12/2017;125
CB Third Floor;16/12/2017;143
CB Third Floor;17/12/2017;131
CB Third Floor;18/12/2017;146
CB Third Floor;19/12/2017;143
CB Third Floor;20/12/2017;143
CB Third Floor;21/12/2017;142
CB Third Floor;22/12/2017;134
CB Third Floor;23/12/2017;121
CB Third Floor;24/12/2017;123
CB Third Floor;25/12/2017;120
CB Third Floor;26/12/2017;113
CB Third Floor;27/12/2017;118
CB Third Floor;28/12/2017;118
CB Third Floor;29/12/2017;134
