CbTagName;date;ed
CB Second Floor;08/02/201-10;103
CB Second Floor;08/02/201-11;110
CB Second Floor;08/02/201-12;111
CB Second Floor;08/02/201-13;122
CB Second Floor;08/02/201-14;120
CB Second Floor;08/02/201-15;106
CB Second Floor;08/02/201-16;102
CB Second Floor;08/02/201-17;101
CB Second Floor;08/02/201-18;90
CB Second Floor;08/02/201-19;79
CB Second Floor;08/02/201-20;75
CB Second Floor;08/02/201-21;72
CB Second Floor;08/02/201-22;72
CB Second Floor;08/02/201-23;71
CB Second Floor;09/02/201-00;71
CB Second Floor;09/02/201-01;71
CB Second Floor;09/02/201-02;71
CB Second Floor;09/02/201-03;71
CB Second Floor;09/02/201-04;72
CB Second Floor;09/02/201-05;72
CB Second Floor;09/02/201-06;72
CB Second Floor;09/02/201-07;70
CB Second Floor;09/02/201-08;75
CB Second Floor;09/02/201-09;75
CB Second Floor;09/02/201-10;74
CB Second Floor;09/02/201-11;74
CB Second Floor;09/02/201-12;72
CB Second Floor;09/02/201-13;70
CB Second Floor;09/02/201-14;69
CB Second Floor;09/02/201-15;69
CB Second Floor;09/02/201-16;69
CB Second Floor;09/02/201-17;69
CB Second Floor;09/02/201-18;68
CB Second Floor;09/02/201-19;68
CB Second Floor;09/02/201-20;68
CB Second Floor;09/02/201-21;68
CB Second Floor;09/02/201-22;67
CB Second Floor;09/02/201-23;67
CB Second Floor;10/02/201-00;67
CB Second Floor;10/02/201-01;66
CB Second Floor;10/02/201-02;66
CB Second Floor;10/02/201-03;65
CB Second Floor;10/02/201-04;62
CB Second Floor;10/02/201-05;60
CB Second Floor;10/02/201-06;59
CB Second Floor;10/02/201-07;59
CB Second Floor;10/02/201-08;57
CB Second Floor;10/02/201-09;56
CB Second Floor;10/02/201-10;55
CB Second Floor;10/02/201-11;54
CB Second Floor;10/02/201-12;54
CB Second Floor;10/02/201-13;54
CB Second Floor;10/02/201-14;53
CB Second Floor;10/02/201-15;53
CB Second Floor;10/02/201-16;53
CB Second Floor;10/02/201-17;52
CB Second Floor;10/02/201-18;52
CB Second Floor;10/02/201-19;52
CB Second Floor;10/02/201-20;53
CB Second Floor;10/02/201-21;53
CB Second Floor;10/02/201-22;54
CB Second Floor;10/02/201-23;54
CB Second Floor;11/02/201-00;54
CB Second Floor;11/02/201-01;55
CB Second Floor;11/02/201-02;58
CB Second Floor;11/02/201-03;72
CB Second Floor;11/02/201-04;72
CB Second Floor;11/02/201-05;76
CB Second Floor;11/02/201-06;82
CB Second Floor;11/02/201-07;89
CB Second Floor;11/02/201-08;108
CB Second Floor;11/02/201-09;108
CB Second Floor;11/02/201-10;107
CB Second Floor;11/02/201-11;113
CB Second Floor;11/02/201-12;121
CB Second Floor;11/02/201-13;123
CB Second Floor;11/02/201-14;116
CB Second Floor;11/02/201-15;111
CB Second Floor;11/02/201-16;109
CB Second Floor;11/02/201-17;106
CB Second Floor;11/02/201-18;98
CB Second Floor;11/02/201-19;87
CB Second Floor;11/02/201-20;83
CB Second Floor;11/02/201-21;80
CB Second Floor;11/02/201-22;77
CB Second Floor;11/02/201-23;76
CB Second Floor;12/02/201-00;76
CB Second Floor;12/02/201-01;75
CB Second Floor;12/02/201-02;75
CB Second Floor;12/02/201-03;75
CB Second Floor;12/02/201-04;74
CB Second Floor;12/02/201-05;75
CB Second Floor;12/02/201-06;85
CB Second Floor;12/02/201-07;91
CB Second Floor;12/02/201-08;110
CB Second Floor;12/02/201-09;112
CB Second Floor;12/02/201-10;112
CB Second Floor;12/02/201-11;120
CB Second Floor;12/02/201-12;124
CB Second Floor;12/02/201-13;127
CB Second Floor;12/02/201-14;118
CB Second Floor;12/02/201-15;114
CB Second Floor;12/02/201-16;111
CB Second Floor;12/02/201-17;105
CB Second Floor;12/02/201-18;93
CB Second Floor;12/02/201-19;85
CB Second Floor;12/02/201-20;79
CB Second Floor;12/02/201-21;77
CB Second Floor;12/02/201-22;73
CB Second Floor;13/02/201-23;67
CB Second Floor;13/02/201-00;73
CB Second Floor;13/02/201-01;72
CB Second Floor;13/02/201-02;73
CB Second Floor;13/02/201-03;72
CB Second Floor;13/02/201-04;74
CB Second Floor;13/02/201-05;74
CB Second Floor;13/02/201-06;86
CB Second Floor;13/02/201-07;93
CB Second Floor;13/02/201-08;108
CB Second Floor;13/02/201-09;107
CB Second Floor;13/02/201-10;107
CB Second Floor;13/02/201-11;109
CB Second Floor;13/02/201-12;119
CB Second Floor;13/02/201-13;122
CB Second Floor;13/02/201-14;117
CB Second Floor;13/02/201-15;106
CB Second Floor;13/02/201-16;101
CB Second Floor;13/02/201-17;98
CB Second Floor;13/02/201-18;89
CB Second Floor;13/02/201-19;77
CB Second Floor;13/02/201-20;73
CB Second Floor;13/02/201-21;71
CB Second Floor;13/02/201-22;69
CB Second Floor;14/02/201-00;67
CB Second Floor;14/02/201-01;67
CB Second Floor;14/02/201-02;68
CB Second Floor;14/02/201-03;67
CB Second Floor;14/02/201-04;68
CB Second Floor;14/02/201-05;67
CB Second Floor;14/02/201-06;73
CB Second Floor;14/02/201-07;85
CB Second Floor;14/02/201-08;108
CB Second Floor;14/02/201-09;109
CB Second Floor;14/02/201-10;105
CB Second Floor;14/02/201-11;111
CB Second Floor;14/02/201-12;113
CB Second Floor;14/02/201-13;116
CB Second Floor;14/02/201-14;112
CB Second Floor;14/02/201-15;108
CB Second Floor;14/02/201-16;97
CB Second Floor;14/02/201-17;93
CB Second Floor;14/02/201-18;82
CB Second Floor;14/02/201-19;72
CB Second Floor;14/02/201-20;68
CB Second Floor;14/02/201-21;67
CB Second Floor;14/02/201-22;66
CB Second Floor;14/02/201-23;66
CB Second Floor;15/02/201-00;64
CB Second Floor;15/02/201-01;64
CB Second Floor;15/02/201-02;65
CB Second Floor;15/02/201-03;65
CB Second Floor;15/02/201-04;65
CB Second Floor;15/02/201-05;64
CB Second Floor;15/02/201-06;70
CB Second Floor;15/02/201-07;78
CB Second Floor;15/02/201-08;97
CB Second Floor;15/02/201-09;100
CB Second Floor;15/02/201-10;96
CB Second Floor;15/02/201-11;107
CB Second Floor;15/02/201-12;111
CB Second Floor;15/02/201-13;114
CB Second Floor;15/02/201-14;108
CB Second Floor;15/02/201-15;97
CB Second Floor;15/02/201-16;93
CB Second Floor;15/02/201-17;90
CB Second Floor;15/02/201-18;79
CB Second Floor;15/02/201-19;69
CB Second Floor;15/02/201-20;65
CB Second Floor;15/02/201-21;63
CB Second Floor;15/02/201-22;62
CB Second Floor;15/02/201-23;62
